t_index   term                   df
1845     choru                   1
1846     chose                  13
1847     chosen                 14
1848     chouchescu              1
1849     chow                    1
1850     chri                   34
1851     chrisdorton             1
1852     christen                3
1853     christi                 4
1854     christian              27
1855     christianchildrensfund         1
1856     christina               3
1857     christma               62
1858     christoph              17
1859     chronic                 2
1860     chronicl                2
1861     chrysanthemum           1
1862     chu                     1
1863     chubbi                  2
1864     chuck                   9
1865     chuckl                  2
1866     chudakova               3
1867     chunk                   4
1868     church                 43
1869     churchvil               1
1870     churchworldservic         1
1871     churn                   1
1872     cia                    24
1873     cienfuego               1
1874     cigarett                2
1875     cinder                  1
1876     cinderblock             3
1877     cinema                  2
1878     cio                     2
1879     circl                  19
1880     circu                   3
1881     circuit                 8
1882     circul                  8
1883     circumst               32
1884     circumstanti            2
1885     circumv                 3
1886     cisnero                 7
1887     ciss                    1
1888     citadel                 1
1889     citat                   2
1890     cite                   38
1891     citi                  218
1892     citizen                73
1893     citizenri               2
1894     citizenship            10
1895     citywid                 1
1896     civic                   4
1897     civil                  61
1898     civilian               52
1899     clad                    3
1900     claiborn                1
1901     claim                 129
1902     clair                   6
1903     clamber                 5
1904     clamor                  3
1905     clandestin              3
1906     clap                    1
1907     clarenc                 1
1908     clarifi                 3
1909     clariti                 1
1910     clark                  41
1911     clarkston               1
1912     clash                  54
1913     clasp                   1
1914     class                  47
1915     classic                 7
1916     classifi               38
1917     classmat                2
1918     classroom               2
1919     clavet                  1
1920     claw                    6
1921     clay                    4
1922     clean                  24
1923     cleanli                 1
1924     cleans                  6
1925     clear                 187
1926     clearanc                5
1927     clearer                 4
1928     clearest                1
1929     clearli                56
1930     cleavag                 1
1931     cleaver                 1
1932     clemenc                31
1933     clement                24
1934     clergi                  2
1935     cleric                  3
1936     clerk                   6
1937     cleveland               1
1938     clever                  4
1939     cleverli                1
1940     click                   2
1941     client                  9
1942     cliff                   1
1943     clifford                2
1944     clijster               11
1945     climact                 1
1946     climat                  4
1947     climax                  4
1948     climb                  22
1949     clime                   1
1950     clinch                  2
1951     cling                   8
1952     clinic                  8
1953     clink                   1
1954     clinton               271
1955     clintonesqu             1
1956     clintonit               1
1957     clip                    2
1958     clister                 1
1959     cloak                   1
1960     clock                  12
1961     clod                    1
1962     clodfelt                4
1963     clog                    1
1964     cloister                1
1965     cloner                  1
1966     closabl                 1
1967     close                 259
1968     closemouth              1
1969     closer                 29
1970     closest                32
1971     closet                  1
1972     closeup                 1
1973     closhg                  1
1974     closur                  7
1975     cloth                  44
1976     cloud                  22
1977     cloudless               1
1978     clout                   4
1979     clown                   1
1980     clton                   1
1981     club                   15
1982     clue                   27
1983     clump                   1
1984     clumsi                  1
1985     clung                   2
1986     cluster                 4
1987     clutch                  4
1988     clyde                   1
1989     cmc                     1
1990     cmdr                   35
1991     cnn                    49
1992     co                     25
1993     coach                  15
1994     coachlight              8
1995     coal                   32
1996     coalit                 35
1997     coalmin                 1
1998     coast                 106
1999     coastal                10
2000     coaster                 1
2001     coastlin                9
2002     coat                    9
2003     coax                    3
2004     cobar                   1
2005     coburn                  4
2006     coca                    2
2007     cocain                  8
2008     cochran                 4
2009     cochranvil              1
2010     cock                    6
2011     cocker                  1
2012     cocktail                3
2013     coco                    2
2014     cocoa                  14
2015     cocodi                  3
2016     code                    7
2017     codi                    5
2018     coercion                1
2019     coetzer                16
2020     coey                    1
2021     coffe                  26
2022     coffer                  2
2023     coffield                1
2024     coffin                 14
2025     cognac                  1
2026     cohen                  56
2027     coher                   1
2028     cohes                   3
2029     cohort                  1
2030     coil                    2
2031     coin                    3
2032     coincid                 6
2033     coincident              1
2034     coker                   1
2035     coki                    2
2036     col                    18
2037     cold                   45
2038     cole                  290
2039     coleman                 1
2040     coler                   7
2041     colin                   7
2042     colina                 23
2043     collabor                3
2044     collag                  1
2045     collaps                86
2046     collar                  1
2047     collat                  2
2048     colleagu               23
2049     collect                32
2050     collector               5
2051     colleg                 35
2052     coller                  4
2053     collid                  7
2054     collin                  2
2055     collis                 20
2056     collus                  1
2057     colo                    9
2058     colobora                1
2059     colombia               10
2060     colombian               3
2061     colon                   4
2062     coloni                 20
2063     colonna                 1
2064     color                  16
2065     colorado               24
2066     columbia               15
2067     columbin                1
2068     column                  7
2069     columnist               1
2070     com                    35
2071     comasagua               5
2072     comb                   10
2073     combat                 22
2074     combin                 20
2075     combrat                 1
2076     come                  265
2077     comeback               17
2078     comedian                1
2079     comen                   1
2080     comfort                25
2081     comic                   1
2082     command               127
2083     commando                5
2084     commemor                7
2085     commenc                 1
2086     commend                 3
2087     comment                82
2088     commentari              5
2089     commerc                11
2090     commerci               38
2091     comminut                1
2092     commiss                94
2093     commissari              2
2094     commission             15
2095     commit                 89
2096     committe               80
2097     commod                 11
2098     common                 39
2099     commonli                5
2100     commot                  1
2101     commun                113
2102     communiqu               5
2103     communist              65
2104     commut                 20
2105     compact                 1
2106     compani                76
2107     companion               4
2108     companionship           4
2109     compar                 31
2110     comparison              9
2111     compart                38
2112     compass                 5
2113     compassion              3
2114     compel                 10
2115     compens                 3
2116     compensatori            1
2117     compet                 16
2118     competit               22
2119     competitor              2
2120     compil                  4
2121     complac                 4
2122     complain               40
2123     complaint              21
2124     complement              2
2125     complet               104
2126     complex                41
2127     compli                  5
2128     complianc               2
2129     complic                31
2130     compliment              5
2131     compon                  2
2132     compos                  1
2133     composit                4
2134     composur                5
2135     compound               30
2136     comprehend              1
2137     comprehens              5
2138     compress                1
2139     compris                 3
2140     compromis              16
2141     compuls                 1
2142     comput                 22
2143     comrad                  7
2144     con                     4
2145     conceal                10
2146     conced                 49
2147     conceiv                 9
2148     concentr               20
2149     concept                 7
2150     concern               105
2151     concernusa              1
2152     concert                 8
2153     concess                16
2154     conchita                3
2155     concili                 2
2156     conciliatori            3
2157     conclud                47
2158     conclus                31
2159     concret                38
2160     concur                  1
2161     concuss                 1
2162     condemn                24
2163     condit                138
2164     condition               1
2165     condol                 15
2166     condoleezza             1
2167     condon                  2
2168     conduct                51
2169     conduit                 1
2170     confer                 68
2171     confess                10
2172     confetti                8
2173     confid                 61
2174     confidenti              1
2175     configur                1
2176     confin                  6
2177     confirm               117
2178     confisc                 1
2179     conflict               46
2180     conform                 1
2181     confound                2
2182     confront               39
2183     confus                 22
2184     cong                    1
2185     congeni                 1
2186     congest                 5
2187     congo                   2
2188     congratul              29
2189     congreg                 1
2190     congress              112
2191     congression            39
2192     congressman            42
2193     congressmen             1
2194     congresswoman           2
2195     conjunct                2
2196     conn                    4
2197     connal                 24
2198     connect                68
2199     connecticut            13
2200     connel                  1
2201     connelli                1
2202     connett                 1
2203     conni                   7
2204     conniv                  1
2205     connoli                 1
2206     connolli                1
2207     connor                  1
2208     conquer                 1
2209     conqueror               3
2210     conquest                2
2211     conrad                  6
2212     conscienc               3
2213     consciou                4
2214     conscious               2
2215     consecut               27
2216     consensu                9
2217     consent                 2
2218     consequ                18
2219     consequenti             1
2220     conserv                19
2221     conservat               1
2222     conservationist         1
2223     consid                131
2224     consider               28
2225     consign                 1
2226     consist                14
2227     consistu                1
2228     consol                  8
2229     consolid               13
2230     consortium              7
2231     conspicu                2
2232     conspir                 6
2233     conspiraci             18
2234     constant               10
2235     constantinescu          1
2236     constantli             10
2237     constern                1
2238     constitu                5
2239     constitut             105
2240     constrain               1
2241     constrict               1
2242     construct              30
2243     consul                 10
2244     consular                3
2245     consult                20
2246     consum                  5
2247     consumpt                1
2248     contact                38
2249     contain                46
2250     contamin                1
2251     contempl                4
2252     contemporari            2
2253     contempt                9
2254     contend                25
2255     content                20
2256     contenti                4
2257     contest                44
2258     context                10
2259     contin                  6
2260     continent               1
2261     conting                 4
2262     continu               230
2263     contort                 1
2264     contra                  1
2265     contract               26
2266     contractor              4
2267     contradict              6
2268     contrari                7
2269     contrast                5
2270     contribut              47
2271     contributor             5
2272     contrit                 1
2273     contriv                 1
2274     control               182
2275     controversi            34
2276     conven                  8
2277     conveni                16
2278     convent                 8
2279     converg                14
2280     convers                18
2281     convert                 5
2282     convey                  3
2283     convict               123
2284     convictsgetaway         1
2285     convinc                27
2286     convincingli            1
2287     convok                  1
2288     convoy                 14
2289     cooey                   1
2290     cook                   20
2291     cool                    8
2292     cooler                  2
2293     coon                    1
2294     cooper                 72
2295     coordin                27
2296     cop                     2
2297     cope                    9
2298     copi                   19
2299     copper                  2
2300     cord                    1
2301     cordial                 3
2302     cordillera              1
2303     cordon                 10
2304     core                   10
2305     corech                  1
2306     coretta                 1
2307     corey                   2
2308     cori                    3
2309     corina                  4
2310     corn                    2
2311     cornahaim               1
2312     cornaheim               1
2313     cornard                 1
2314     corner                 34
2315     cornerston              1
2316     cornett                 2
2317     corni                   1
2318     cornwal                 1
2319     corollari               1
2320     coron                   2
2321     corp                   16
2322     corpor                 15
2323     corps                  13
2324     corpu                   1
2325     corral                  1
2326     correct                25
2327     correctli               5
2328     correl                  4
2329     correspond             26
2330     corridor                2
2331     corros                  3
2332     corrug                  2
2333     corrupt                78
2334     corzin                 13
2335     cosbi                   1
2336     cosic                   1
2337     cosmeniov               1
2338     cosminov                1
2339     cost                   41
2340     costa                   4
2341     costello                1
2342     costelow                1
2343     costli                  5
2344     costliest               3
2345     cot                     4
2346     coteri                  1
2347     cotibua                 1
2348     coton                   1
2349     cotton                  7
2350     couch                   2
2351     coue                    1
2352     could                 391
2353     coulibali               9
2354     council                43
2355     councilman              1
2356     counsel                24
2357     counselor               2
2358     count                  80
2359     counter                22
2360     counterattack           4
2361     counterintellig         3
2362     counternarcot           1
2363     counterpart             5
2364     counterpunch            1
2365     counterrevolutionari         1
2366     counterterror          10
2367     counti                 35
2368     countless               1
2369     countri               412
2370     countryman              7
2371     countrymen              8
2372     countrysid             15
2373     coup                   44
2374     coupl                  40
2375     courag                 11
2376     courier                 3
2377     cours                  62
2378     court                 193
2379     courtesi                1
2380     courthous               4
2381     courtland               1
2382     courtroom               7
2383     courtsid                2
2384     courtyard               6
2385     cousin                  4
2386     coustunitza             1
2387     coven                   1
2388     cover                  68
2389     coverag                19
2390     coverdel                3
2391     covic                   3
2392     cow                     7
2393     coward                  2
2394     cowardli               15
2395     cowboy                  3
2396     cower                   3
2397     cowl                    1
2398     cp                      1
2399     cpn                     2
2400     crabbi                  1
2401     crack                  32
2402     crackdown              10
2403     crackl                  2
2404     cradl                   1
2405     craft                  19
2406     crafti                  2
2407     cragey                  3
2408     craggi                  1
2409     craig                  13
2410     cram                    3
2411     cramp                   8
2412     crane                  18
2413     cranni                  1
2414     crap                    1
2415     crash                  85
2416     crater                  6
2417     crave                   2
2418     crawl                   9
2419     crazi                   7
2420     creak                   1
2421     creaki                  2
2422     cream                   3
2423     creasingli              1
2424     creat                  50
2425     creation                5
2426     creativ                 2
2427     creator                 1
2428     credenc                 2
2429     credenti               16
2430     credibl                42
2431     credit                 20
2432     creditor                4
2433     cree                    1
2434     creed                   2
2435     creek                   1
2436     creep                   5
2437     creepi                  1
2438     cremat                  4
2439     crematoria              1
2440     crematorium             1
2441     crept                   6
2442     crescent                1
2443     crest                   2
2444     crestfallen             1
2445     crevic                  1
2446     crew                  133
2447     crewman                 4
2448     crewmemb                5
2449     crewmen                10
2450     cri                    38
2451     crime                  83
2452     crimin                105
2453     criminolog              1
2454     crippl                 40
2455     crise                  14
2456     crisi                  54
2457     crisp                   3
2458     cristo                  1
2459     criteria                2
2460     critic                121
2461     croat                   3
2462     croatia                14
2463     croatian                3
2464     croifl                  1
2465     croni                  18
2466     crook                   7
2467     crop                    3
2468     crosbi                  5
2469     cross                  47
2470     crosscourt              5
2471     crossfir                1
2472     crouch                 12
2473     crous                   1
2474     crow                    1
2475     crowbar                 6
2476     crowd                 106
2477     crowley                10
2478     crown                   8
2479     crucial                21
2480     crucifi                 1
2481     crude                   1
2482     crue                    1
2483     cruel                   3
2484     cruelti                 3
2485     cruis                  16
2486     cruiser                 3
2487     cruman                  1
2488     crumbl                 21
2489     crumpl                  3
2490     crusad                  4
2491     crush                  22
2492     crust                   1
2493     crutch                  6
2494     cruz                    1
2495     crwrc                   1
2496     cryptic                 1
2497     crystal                 2
2498     cuba                    9
2499     cuban                   3
2500     cue                     1
2501     cuellar                 6
2502     cuff                    1
2503     cul                     1
2504     culmin                  8
2505     culpabl                 1
2506     culprit                 9
2507     cultiv                  2
2508     cultur                 12
2509     cummin                  2
2510     cun                     5
2511     cuomo                   3
2512     cup                     9
2513     cupboard                1
2514     curb                    4
2515     curdl                   1
2516     cure                    1
2517     curfew                 10
2518     curios                  2
2519     curiou                  9
2520     currenc                 2
2521     current                52
2522     curriculum              4
2523     curs                    4
2524     cursori                 1
2525     curt                    2
2526     curtail                 4
2527     curtain                 3
2528     curti                   3
2529     curv                    3
2530     cush                    2
2531     cusp                    1
2532     cussin                  2
2533     custodi                21
2534     custodian               3
2535     custom                  9
2536     customari               2
2537     cut                   115
2538     cutback                 1
2539     cutigua                 1
2540     cutter                  8
2541     cybercaf                1
2542     cybernet                1
2543     cycl                    3
2544     cyclon                  1
2545     cylind                  1
2546     cylindr                 1
2547     cynic                   9
2548     cypru                   1
2549     cyr                     1
2550     czarist                 2
2551     czech                  14
2552     czechoslovakian         1
2553     da                      3
2554     dad                    11
2555     dada                    1
2556     dade                    2
2557     dadiv                   1
2558     dae                     5
2559     daewoo                  5
2560     dagestan                3
2561     dagger                  3
2562     daili                  29
2563     daja                    2
2564     dakota                 19
2565     dakotan                 1
2566     dakouri                 1
2567     dalal                   1
2568     dale                    2
2569     daley                   7
2570     dali                    1
2571     dalla                  37
2572     dalworthington          1
2573     dam                     1
2574     damag                 156
2575     damascu                 2
2576     dame                    1
2577     damir                   3
2578     dammaj                  1
2579     damor                   1
2580     damp                    1
2581     dampen                  2
2582     dan                    18
2583     dana                    2
2584     danah                   4
2585     danburi                 1
2586     danc                   11
2587     dancer                  3
2588     dandelion               1
2589     dane                    1
2590     danewich                1
2591     danforth                3
2592     danger                103
2593     dangl                   2
2594     daniel                 19
2595     daniela                 6
2596     daniil                  2
2597     danni                   1
2598     danzig                  4
2599     daoud                   1
2600     dapist                  1
2601     dar                     5
2602     darden                  1
2603     dare                   15
2604     daren                   7
2605     dark                   29
2606     darken                  3
2607     darl                    1
2608     darn                    1
2609     darrel                  2
2610     dart                    1
2611     darwinian               1
2612     daschl                 11
2613     dash                    4
2614     dashboard               1
2615     data                    4
2616     date                   32
2617     datelin                 7
2618     daughter               55
2619     daunt                   6
2620     dave                   18
2621     davenport              44
2622     davi                    4
2623     david                  59
2624     davidian                2
2625     dawn                   24
2626     day                   476
2627     daybreak                3
2628     dayeb                   1
2629     daylight                4
2630     dayton                  9
2631     daytona                 1
2632     daze                    4
2633     dazesurvivor            1
2634     dc                      7
2635     dd                      1
2636     de                     20
2637     dea                     1
2638     deactiv                 2
2639     dead                  165
2640     deadli                 53
2641     deadliest              16
2642     deadlin                13
2643     deadlock                3
2644     deaf                    1
2645     deal                   98
2646     dealt                   6
2647     dean                    5
2648     dear                    5
2649     dearborn                1
2650     dearli                  3
2651     death                 211
2652     debar                   1
2653     debat                  65
2654     debbi                   5
2655     deborah                 3
2656     debra                   2
2657     debri                  47
2658     debt                   14
2659     debut                   1
2660     dec                    48
2661     decad                  83
2662     decay                   2
2663     deceas                  8
2664     deceit                  1
2665     decemb                 79
2666     decent                  2
2667     decentr                 3
2668     decept                  1
2669     decibel                 1
2670     decid                 103
2671     decidedli               1
2672     decis                 174
2673     deck                   44
2674     declar                 99
2675     declassifi              1
2676     declin                 48
2677     decod                   2
2678     decompos                1
2679     decor                   2
2680     decrat                  2
2681     decre                   2
2682     decri                   3
2683     ded                     1
2684     dedic                   9
2685     dedinj                  5
2686     dee                     1
2687     deed                    3
2688     deem                    8
2689     deep                   54
2690     deepen                  5
2691     deeper                  3
2692     deepest                 1
2693     deepli                 23
2694     defac                   1
2695     default                 3
2696     defeat                143
2697     defect                  2
2698     defenc                  3
2699     defend                121
2700     defens                155
2701     defenselink             3
2702     defer                   2
2703     defi                    6
2704     defianc                 7
2705     defiant                 6
2706     defiantli               2
2707     defici                  1
2708     deficit                11
2709     defin                   7
2710     definit                37
2711     deflat                  1
2712     deflect                 6
2713     defoli                  1
2714     defolt                  1
2715     deforest               10
2716     defraud                 3
2717     defunct                 2
2718     defus                   3
2719     degr                    1
2720     degrad                  4
2721     degre                  31
2722     dehuman                 1
2723     dehydr                  3
2724     del                    11
2725     delawar                25
2726     delay                  34
2727     deleg                  10
2728     delhi                  17
2729     deli                    1
2730     deliber                15
2731     delic                   7
2732     delici                  1
2733     delight                 5
2734     deliv                  36
2735     deliveri                2
2736     dell                    1
2737     delsaut                 2
2738     delta                   9
2739     delus                   2
2740     delv                    1
2741     demaci                  1
2742     demagogu                2
2743     demand                 75
2744     demarc                  1
2745     demean                  1
2746     demeanor                2
2747     dementieva              5
2748     demick                  1
2749     demilitar               1
2750     demis                   6
2751     democraci              83
2752     democrat              188
2753     democratich             1
2754     demograph               1
2755     demolish                5
2756     demolit                 5
2757     demon                   4
2758     demonstr               88
2759     demot                   2
2760     demur                   1
2761     demystifi               1
2762     dengu                   1
2763     deni                   95
2764     denial                  5
2765     denigr                  1
2766     denis                  14
2767     denisa                  3
2768     denn                    1
2769     denni                   8
2770     denomin                 1
2771     denounc                13
2772     dens                    4
2773     dent                    2
2774     dental                  1
2775     denver                 21
2776     depart                180
2777     departur               20
2778     depend                 34
2779     depict                  1
2780     deplan                  1
2781     deplet                  2
2782     deplor                  2
2783     deploy                 22
2784     deport                  3
2785     deportieren             1
2786     depos                   7
2787     deposit                 4
2788     depot                   4
2789     depress                 3
2790     depriv                  1
2791     dept                    1
2792     depth                  13
2793     deputi                 46
2794     dequia                  2
2795     derail                  1
2796     derelict                1
2797     deriv                   3
2798     desai                   1
2799     descend                18
2800     descent                 9
2801     describ                80
2802     descript                8
2803     desegreg                1
2804     desert                 35
2805     deserv                 15
2806     deservedli              2
2807     design                 38
2808     designe                 1
2809     desir                  16
2810     desist                  3
2811     desk                    6
2812     desol                   1
2813     despair                 6
2814     desper                 39
2815     despic                 12
2816     despis                  3
2817     despit                116
2818     despot                  1
2819     destabil                3
2820     destin                 10
2821     destini                 1
2822     destitut                1
2823     destroy               227
2824     destruct               27
2825     desvid                  1
2826     detach                  3
2827     detail                 89
2828     detain                 31
2829     detaine                 2
2830     detect                 14
2831     detector                1
2832     detent                 10
2833     deter                  15
2834     deterg                  1
2835     deterior               11
2836     determin              104
2837     deterr                  2
2838     detest                  1
2839     deton                  30
2840     detour                  4
2841     detritu                 1
2842     detroit                 3
2843     deuc                   12
2844     deutch                  8
2845     deutsch                 1
2846     devast                 58
2847     devastatingli           1
2848     develop                97
2849     deviat                  1
2850     devic                  15
2851     devilish                1
2852     devis                   1
2853     devot                  15
2854     devour                  2
2855     devoutli                1
2856     dewat                   2
2857     dewin                   2
2858     dhabi                   4
2859     dhahran                12
2860     dharan                  1
2861     dhingra                 1
2862     dhrumal                 1
2863     diabak                  1
2864     diagnos                 5
2865     diagnosi                1
2866     diagnost                1
2867     diagnostico             1
2868     diagram                 1
2869     dialect                 1
2870     diallo                  2
2871     dialo                   3
2872     dialogu                 8
2873     diamet                  3
2874     diamond                 3
2875     dian                    2
2876     diann                   3
2877     diari                   1
2878     diarrhea                3
2879     diaz                    2
2880     dick                   36
2881     dickinson               1
2882     dictablanda             1
2883     dictadura               1
2884     dictat                 29
2885     dictatori               3
2886     dictatorship           10
2887     diction                 4
2888     dictionari              1
2889     dictment                1
2890     die                   192
2891     diego                   5
2892     dienstbier              2
2893     diesel                  2
2894     diet                    3
2895     differ                107
2896     difficult              84
2897     difficulti             21
2898     diffus                  1
2899     dig                    49
2900     digest                  1
2901     digger                  3
2902     digit                   4
2903     dignitari               5
2904     digniti                 8
2905     dilapid                 1
2906     dilemma                 4
2907     dilfer                  1
2908     dilig                   1
2909     dilut                   1
2910     dime                    1
2911     dimens                  2
2912     diminish                5
2913     diminut                 1
2914     dimitr                  1
2915     dimitri                 2
2916     dimmer                  1
2917     dina                    1
2918     dinar                   2
2919     dine                    8
2920     dinghi                  4
2921     dingi                   1
2922     dinh                    2
2923     dinkic                  3
2924     dinner                 10
2925     dioulo                  1
2926     dip                     2
2927     diplomaci               8
2928     diplomat               69
2929     diplospeak              4
2930     dire                    1
2931     direct                 75
2932     directli               40
2933     director              102
2934     directrelief            1
2935     diring                  1
2936     dirksen                 1
2937     dirt                   35
2938     dirti                  11
2939     dirtiest                1
2940     disabl                  4
2941     disadvantag             1
2942     disaffect               1
2943     disagr                  3
2944     disagre                 8
2945     disappear              24
2946     disappoint             25
2947     disapprov               1
2948     disarm                  1
2949     disarma                 1
2950     disarray                2
2951     disassembl              1
2952     disast                 76
2953     disastr                 8
2954     disband                 6
2955     disbar                  4
2956     disbelief               5
2957     disc                    1
2958     discard                 2
2959     discharg                3
2960     disciplin              13
2961     disciplinari            6
2962     disclos                12
2963     disclosur               7
2964     discomfort              4
2965     discont                 2
2966     discontinu              1
2967     discord                 2
2968     discothequ              1
2969     discount                1
2970     discourag               7
2971     discov                 37
2972     discoveri              12
2973     discovi                 1
2974     discredit              10
2975     discreet                1
2976     discrep                 4
2977     discret                 4
2978     discrimin               2
2979     discuss                75
2980     disdain                 4
2981     diseas                  9
2982     disenfranchis           3
2983     disgaz                  1
2984     disgrac                12
2985     disgruntl               5
2986     disguis                 9
2987     disgust                 1
2988     dish                    1
2989     dishdasha               1
2990     dishearten              2
2991     dishonor                2
2992     disillus                2
2993     disinfect               5
2994     disinform               1
2995     disintegr              10
2996     dislik                  1
2997     disloc                  2
2998     dislodg                 2
2999     dismal                  1
3000     dismantl                8
3001     dismay                  3
3002     dismemb                 1
3003     dismiss                32
3004     disobedi               14
3005     disord                  3
3006     disori                  2
3007     dispar                  4
3008     disparag                2
3009     dispatch               31
3010     dispel                  2
3011     dispens                 1
3012     dispers                13
3013     displac                 2
3014     display                29
3015     displeas                1
3016     displeasur              1
3017     dispos                 12
3018     disposit                1
3019     disprov                 2
3020     disput                 33
3021     disqualifi              6
3022     disquiet                1
3023     disregard               5
3024     disreput                1
3025     disrespect              2
3026     disrupt                 9
3027     dissect                 1
3028     dissemin                4
3029     dissent                 5
3030     dissid                  6
3031     dissip                  1
3032     dissolv                12
3033     dissuas                 1
3034     distanc                16
3035     distant                 7
3036     distinct                7
3037     distinctli              1
3038     distinguish             7
3039     distort                 6
3040     distract                8
3041     distraught             13
3042     distress                4
3043     distribut              26
3044     district               38
3045     distrust                1
3046     disturb                 9
3047     disun                   2
3048     ditch                   5
3049     dive                   21
3050     diver                  67
3051     divers                  8
3052     diversifi               1
3053     divert                  8
3054     divid                  33
3055     divis                  26
3056     divorc                  3
3057     divulg                  4
3058     dixon                   3
3059     dixvil                  1
3060     dizzi                   2
3061     djahouri                1
3062     djibouti               20
3063     djikal                  1
3064     djila                   1
3065     djindjic               17
3066     djukanov                3
3067     djuro                   1
3068     dmitri                 12
3069     dmon                    1
3070     dna                     5
3071     dnevnik                 1
3072     doan                    1
3073     dobrica                 1
3074     dochterman              1
3075     dock                   42
3076     docksid                 2
3077     doctor                 52
3078     doctorswithoutbord         1
3079     doctrin                 1
3080     document               44
3081     documentari             1
3082     dodg                    1
3083     dodgi                   3
3084     doe                    93
3085     doer                    1
3086     dog                    32
3087     dogged                  1
3088     doggedli                1
3089     doha                    1
3090     dokic                   9
3091     doll                    1
3092     dollar                 47
3093     dolphin                 1
3094     domain                  1
3095     dome                    2
3096     domest                 16
3097     domin                  42
3098     dominican               1
3099     dominik                16
3100     dominikov               4
3101     dominion                2
3102     dominiqu                1
3103     domino                  3
3104     donald                 35
3105     donaldson               2
3106     donat                  19
3107     done                  109
3108     dong                    1
3109     donkey                  1
3110     donna                   2
3111     donnel                  3
3112     donor                  11
3113     dooda                   1
3114     doom                    9
3115     door                   55
3116     doorway                 2
3117     dopher                  1
3118     dora                    1
3119     dorcol                  1
3120     doreen                  1
3121     dori                    1
3122     dormitori               1
3123     dorothi                 3
3124     dose                    1
3125     dostoyevski             1
3126     dot                     3
3127     doubl                  46
3128     doubt                  52
3129     doudou                  1
3130     doug                    1
